Color,lx,ly,rx,ry,Xw,Yw
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
Blue,308,311,332,286,-0.2941751873407742,-0.011748139448979789
LightBlue,446,302,470,277,-0.2532573340429952,-0.5699108955908128
Pink,439,161,464,136,0.31779246386252014,-0.5384487423686659
Brown,407,240,431,216,-0.003316674087502358,-0.41073217735875267
Yellow,306,253,329,228,-0.059246889988847085,-0.0023645417139008806
Purple,222,242,248,217,-0.017390076266077803,0.33775359198560795
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
Blue,308,311,332,286,-0.2941751873407742,-0.011748139448979789
LightBlue,446,302,470,277,-0.2532573340429952,-0.5699108955908128
Pink,439,161,464,136,0.31779246386252014,-0.5384487423686659
Brown,407,240,431,216,-0.003316674087502358,-0.41073217735875267
Yellow,306,253,329,228,-0.059246889988847085,-0.0023645417139008806
Purple,222,242,248,217,-0.017390076266077803,0.33775359198560795
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
Blue,308,311,332,286,-0.2941751873407742,-0.011748139448979789
LightBlue,446,302,470,277,-0.2532573340429952,-0.5699108955908128
Pink,439,161,464,136,0.31779246386252014,-0.5384487423686659
Brown,407,240,431,216,-0.003316674087502358,-0.41073217735875267
Yellow,306,253,329,228,-0.059246889988847085,-0.0023645417139008806
Purple,222,242,248,217,-0.017390076266077803,0.33775359198560795
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
Blue,308,311,332,286,-0.2941751873407742,-0.011748139448979789
LightBlue,446,302,470,277,-0.2532573340429952,-0.5699108955908128
Pink,439,161,464,136,0.31779246386252014,-0.5384487423686659
Brown,407,240,431,216,-0.003316674087502358,-0.41073217735875267
Yellow,306,253,329,228,-0.059246889988847085,-0.0023645417139008806
Purple,222,242,248,217,-0.017390076266077803,0.33775359198560795
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
Blue,308,311,332,286,-0.2941751873407742,-0.011748139448979789
LightBlue,446,302,470,277,-0.2532573340429952,-0.5699108955908128
Pink,439,161,464,136,0.31779246386252014,-0.5384487423686659
Brown,407,240,431,216,-0.003316674087502358,-0.41073217735875267
Yellow,306,253,329,228,-0.059246889988847085,-0.0023645417139008806
Purple,222,242,248,217,-0.017390076266077803,0.33775359198560795
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
Blue,308,311,332,286,-0.2941751873407742,-0.011748139448979789
LightBlue,446,302,470,277,-0.2532573340429952,-0.5699108955908128
Pink,439,161,464,136,0.31779246386252014,-0.5384487423686659
Brown,407,240,431,216,-0.003316674087502358,-0.41073217735875267
Yellow,306,253,329,228,-0.059246889988847085,-0.0023645417139008806
Purple,222,242,248,217,-0.017390076266077803,0.33775359198560795
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
Blue,308,311,332,286,-0.2941751873407742,-0.011748139448979789
LightBlue,446,302,470,277,-0.2532573340429952,-0.5699108955908128
Pink,439,161,464,136,0.31779246386252014,-0.5384487423686659
Brown,407,240,431,216,-0.003316674087502358,-0.41073217735875267
Yellow,306,253,329,228,-0.059246889988847085,-0.0023645417139008806
Purple,222,242,248,217,-0.017390076266077803,0.33775359198560795
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
Blue,308,311,332,286,-0.2941751873407742,-0.011748139448979789
LightBlue,446,302,470,277,-0.2532573340429952,-0.5699108955908128
Pink,439,161,464,136,0.31779246386252014,-0.5384487423686659
Brown,407,240,431,216,-0.003316674087502358,-0.41073217735875267
Yellow,306,253,329,228,-0.059246889988847085,-0.0023645417139008806
Purple,222,242,248,217,-0.017390076266077803,0.33775359198560795
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
Blue,308,311,332,286,-0.2941751873407742,-0.011748139448979789
LightBlue,446,302,470,277,-0.2532573340429952,-0.5699108955908128
Pink,439,161,464,136,0.31779246386252014,-0.5384487423686659
Brown,407,240,431,216,-0.003316674087502358,-0.41073217735875267
Yellow,306,253,329,228,-0.059246889988847085,-0.0023645417139008806
Purple,222,242,248,217,-0.017390076266077803,0.33775359198560795
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
Blue,308,311,332,286,-0.2941751873407742,-0.011748139448979789
LightBlue,446,302,470,277,-0.2532573340429952,-0.5699108955908128
Pink,439,161,464,136,0.31779246386252014,-0.5384487423686659
Brown,407,240,431,216,-0.003316674087502358,-0.41073217735875267
Yellow,306,253,329,228,-0.059246889988847085,-0.0023645417139008806
Purple,222,242,248,217,-0.017390076266077803,0.33775359198560795
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
Blue,308,311,332,286,-0.2941751873407742,-0.011748139448979789
LightBlue,446,302,470,277,-0.2532573340429952,-0.5699108955908128
Pink,439,161,464,136,0.31779246386252014,-0.5384487423686659
Brown,407,240,431,216,-0.003316674087502358,-0.41073217735875267
Yellow,306,253,329,228,-0.059246889988847085,-0.0023645417139008806
Purple,222,242,248,217,-0.017390076266077803,0.33775359198560795
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
Blue,308,311,332,286,-0.2941751873407742,-0.011748139448979789
LightBlue,446,302,470,277,-0.2532573340429952,-0.5699108955908128
Pink,439,161,464,136,0.31779246386252014,-0.5384487423686659
Brown,407,240,431,216,-0.003316674087502358,-0.41073217735875267
Yellow,306,253,329,228,-0.059246889988847085,-0.0023645417139008806
Purple,222,242,248,217,-0.017390076266077803,0.33775359198560795
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
Blue,308,311,332,286,-0.2941751873407742,-0.011748139448979789
LightBlue,446,302,470,277,-0.2532573340429952,-0.5699108955908128
Pink,439,161,464,136,0.31779246386252014,-0.5384487423686659
Brown,407,240,431,216,-0.003316674087502358,-0.41073217735875267
Yellow,306,253,329,228,-0.059246889988847085,-0.0023645417139008806
Purple,222,242,248,217,-0.017390076266077803,0.33775359198560795
Red,306,163,334,138,0.30539717217826023,-0.0003606788662131599
